Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
CEMENT_M_2;AI;1;2
CEMENT_M_3;AI;1;3
WATER_M_1;AI;1;4

ADDITION_M_1;AI;2;1
ADDITION_M_2;AI;2;2
ADDITION_M_3;AI;2;3
ADDITION_M_4;AI;2;4

ADDITION_M_5;AI;3;1
ADDITION_M_6;AI;3;2
ADDITION_M_7;AI;3;3
MIXER_I_1;AI;3;4

DCEMENT_CLOSED_1;DI;4;1
DCEMENT_CLOSED_2;DI;4;2
DCEMENT_CLOSED_3;DI;4;3
DWATER_CLOSED_1;DI;4;4
DADDITION_CLOSED_1;DI;4;5
DADDITION_CLOSED_2;DI;4;6
DADDITION_CLOSED_3;DI;4;7
DADDITION_CLOSED_4;DI;4;8

DADDITION_CLOSED_5;DI;5;1
DADDITION_CLOSED_6;DI;5;2
DADDITION_CLOSED_7;DI;5;3
DADDITION_CLOSED_8;DI;5;4
DADDITION_CLOSED_9;DI;5;5
DADDITION_CLOSED_10;DI;5;6
AUGER_ISON_1;DI;5;7
AUGER_ISON_2;DI;5;8

AUGER_ISON_3;DI;6;1
WPUMP_ISON_1;DI;6;2
WPUMP_ISON_2;DI;6;3
APUMP_ISON_1;DI;6;4
APUMP_ISON_2;DI;6;5
APUMP_ISON_3;DI;6;6
APUMP_ISON_4;DI;6;7
APUMP_ISON_5;DI;6;8

APUMP_ISON_6;DI;7;1
APUMP_ISON_7;DI;7;2
APUMP_ISON_8;DI;7;3
APUMP_ISON_9;DI;7;4
APUMP_ISON_10;DI;7;5
CONVEYOR_ISON_1;DI;7;6
TCONVEYOR_ISON_1;DI;7;7
MC_CLOSED_1;DI;7;8

MC_OPENED_1;DI;8;1
MIXER_ISON_1;DI;8;2
MIXER_CLOSED_1;DI;8;3
MIXER_MIDDLE_1;DI;8;4
MIXER_OPENED_1;DI;8;5
LLEVEL_1;DI;8;6
LLEVEL_2;DI;8;7
LLEVEL_3;DI;8;8

HLEVEL_1;DI;9;1
HLEVEL_2;DI;9;2
HLEVEL_3;DI;9;3
ROPE_1;DI;9;4
ROPE_2;DI;9;5
ADDITION_Q_8;CNT8;9;6
ADDITION_Q_9;CNT8;9;7
ADDITION_Q_10;CNT8;9;8

DADDITION_ISEMPTY_8;DI;10;1
DADDITION_ISEMPTY_9;DI;10;2
DADDITION_ISEMPTY_10;DI;10;3

DCEMENT_OPEN_1;DO;11;1
DCEMENT_OPEN_2;DO;11;2
DCEMENT_OPEN_3;DO;11;3
DWATER_OPEN_1;DO;11;4
DADDITION_OPEN_1;DO;11;5
DADDITION_OPEN_2;DO;11;6
DADDITION_OPEN_3;DO;11;7
DADDITION_OPEN_4;DO;11;8

DADDITION_OPEN_5;DO;12;1
DADDITION_OPEN_6;DO;12;2
DADDITION_OPEN_7;DO;12;3
DADDITION_OPEN_8;DO;12;4
DADDITION_OPEN_9;DO;12;5
DADDITION_OPEN_10;DO;12;6
ADDITION_OPEN_1;DO;12;7
ADDITION_OPEN_2;DO;12;8

ADDITION_OPEN_3;DO;13;1
ADDITION_OPEN_4;DO;13;2
ADDITION_OPEN_5;DO;13;3
ADDITION_OPEN_6;DO;13;4
ADDITION_OPEN_7;DO;13;5
MC_OPEN_1;DO;13;6
MIXER_OPEN_1;DO;13;7
MIXER_CLOSE_1;DO;13;8

OIL_ON_1;DO;14;1
AERATOR_ON_1;DO;14;2
AERATOR_ON_2;DO;14;3
AERATOR_ON_3;DO;14;4
DC_VIBRATOR_ON_1;DO;14;5
DC_VIBRATOR_ON_2;DO;14;6
DC_VIBRATOR_ON_3;DO;14;7
FILTER_CLEAR_1;DO;14;8

AUGER_ON_1;DO;15;1
AUGER_ON_2;DO;15;2
AUGER_ON_3;DO;15;3
WPUMP_ON_1;DO;15;4
WPUMP_ON_2;DO;15;5
APUMP_ON_1;DO;15;6
APUMP_ON_2;DO;15;7
APUMP_ON_3;DO;15;8

APUMP_ON_4;DO;16;1
APUMP_ON_5;DO;16;2
APUMP_ON_6;DO;16;3
APUMP_ON_7;DO;16;4
APUMP_ON_8;DO;16;5
APUMP_ON_9;DO;16;6
APUMP_ON_10;DO;16;7
CONVEYOR_ON_1;DO;16;8

TCONVEYOR_ON_1;DO;17;1
MIXER_STAR_1;DO;17;2
MIXER_TRIA_1;DO;17;3
MIXER_ENABLE_1;DO;17;4
OIL_PUMP_ON_1;DO;17;5
S_VIBRATOR_ON_1;DO;17;6
S_VIBRATOR_ON_2;DO;17;7
S_VIBRATOR_ON_3;DO;17;8

MC_FILTER_ON_1;DO;18;1
MC_VIBRATOR_ON_1;DO;18;2
